,USPS,NAME,INTPTLAT,INTPTLONG,POPESTIMATE
462,GA,Henry County,33.452947,-84.154021,245235
463,GA,Houston County,32.458287,-83.662522,166829
464,GA,Irwin County,31.604306,-83.277037,9618
465,GA,Jackson County,34.130905,-83.562557,80286
466,GA,Jasper County,33.316981,-83.689151,15278
467,GA,Jeff Davis County,31.811615,-82.636825,14872
468,GA,Jefferson County,33.058176,-82.420004,15524
469,GA,Jenkins County,32.794563,-81.971524,8639
470,GA,Johnson County,32.694584,-82.66397,9160
471,GA,Jones County,33.021664,-83.562196,28400
472,GA,Lamar County,33.07444,-84.146689,19080
473,GA,Lanier County,31.038197,-83.063164,9907
474,GA,Laurens County,32.39322,-82.926317,49547
475,GA,Lee County,31.818419,-84.146681,33411
476,GA,Liberty County,31.807458,-81.457871,65711
477,GA,Lincoln County,33.792151,-82.448299,7749
478,GA,Long County,31.749563,-81.74287,17152
479,GA,Lowndes County,30.833145,-83.268995,119276
480,GA,Lumpkin County,34.56814,-83.998925,34278
481,GA,McDuffie County,33.480613,-82.479533,21633
482,GA,McIntosh County,31.485629,-81.372141,11123
483,GA,Macon County,32.362686,-84.051231,12004
484,GA,Madison County,34.128526,-83.203737,30885
485,GA,Marion County,32.359312,-84.528735,7440
486,GA,Meriwether County,33.029267,-84.667058,20793
487,GA,Miller County,31.162931,-84.730398,5919
488,GA,Mitchell County,31.228997,-84.192038,21521
489,GA,Monroe County,33.017404,-83.922837,28712
490,GA,Montgomery County,32.172108,-82.533349,8653
491,GA,Morgan County,33.598696,-83.499435,20635
492,GA,Murray County,34.797097,-84.73799,39951
493,GA,Muscogee County,32.510197,-84.874946,205617
494,GA,Newton County,33.552751,-83.85136,115355
495,GA,Oconee County,33.834125,-83.437728,43023
496,GA,Oglethorpe County,33.866806,-83.074081,15140
497,GA,Paulding County,33.92103,-84.867169,173780
498,GA,Peach County,32.571324,-83.831978,28417
499,GA,Pickens County,34.456746,-84.490351,34024
500,GA,Pierce County,31.353998,-82.21037,19976
501,GA,Pike County,33.081149,-84.389462,19477
502,GA,Polk County,33.996015,-85.188338,43496
503,GA,Pulaski County,32.238803,-83.481845,9917
504,GA,Putnam County,33.32106,-83.37179,22585
505,GA,Quitman County,31.862938,-85.004798,2243
506,GA,Rabun County,34.883934,-83.40487,17119
507,GA,Randolph County,31.762651,-84.752311,6287
508,GA,Richmond County,33.361486,-82.074998,205673
509,GA,Rockdale County,33.652081,-84.02637,94082
510,GA,Schley County,32.263444,-84.322708,4478
511,GA,Screven County,32.744751,-81.617585,14105
512,GA,Seminole County,30.93396,-84.867685,9197
513,GA,Spalding County,33.262348,-84.284905,67909
514,GA,Stephens County,34.553582,-83.290588,26865
515,GA,Stewart County,32.073225,-84.834912,5341
516,GA,Sumter County,32.042266,-84.204294,29283
517,GA,Talbot County,32.704603,-84.530029,5742
518,GA,Taliaferro County,33.559319,-82.875272,1558
519,GA,Tattnall County,32.043768,-82.059208,23052
520,GA,Taylor County,32.554667,-84.251426,7799
521,GA,Telfair County,31.913641,-82.931063,12414
522,GA,Terrell County,31.777191,-84.439446,8964
523,GA,Thomas County,30.864619,-83.919815,45842
524,GA,Tift County,31.457003,-83.525931,41212
525,GA,Toombs County,32.117753,-82.330597,26911
526,GA,Towns County,34.902529,-83.732264,12875
527,GA,Treutlen County,32.409586,-82.570882,6306
528,GA,Troup County,33.034482,-85.02836,69720
529,GA,Turner County,31.7248,-83.620319,8966
530,GA,Twiggs County,32.665847,-83.425879,7856
531,GA,Union County,34.833333,-83.989257,25521
532,GA,Upson County,32.881837,-84.292283,27720
533,GA,Walker County,34.735802,-85.305456,68510
534,GA,Walton County,33.783887,-83.731829,99853
535,GA,Ware County,31.050881,-82.421507,36033
536,GA,Warren County,33.419169,-82.688012,5240
537,GA,Washington County,32.971843,-82.798112,19785
538,GA,Wayne County,31.547845,-81.912376,30380
539,GA,Webster County,32.046691,-84.553828,2367
540,GA,Wheeler County,32.105258,-82.733849,7471
541,GA,White County,34.644182,-83.743,28442
542,GA,Whitfield County,34.801726,-84.968541,102848
